Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Flags
TCP,10.0.2.4,38183,10.0.2.5,9100,S
TCP,10.0.2.4,38183,10.0.2.5,4,S
TCP,10.0.2.4,38183,10.0.2.5,1201,S
TCP,10.0.2.5,1700,10.0.2.4,38183,AR
TCP,10.0.2.5,1259,10.0.2.4,38183,AR
TCP,10.0.2.5,3370,10.0.2.4,38183,AR
TCP,10.0.2.5,8652,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,1187,S
TCP,10.0.2.4,38183,10.0.2.5,6112,S
TCP,10.0.2.4,38183,10.0.2.5,8701,S
TCP,10.0.2.4,38183,10.0.2.5,1093,S
TCP,10.0.2.5,1322,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,2121,S
TCP,10.0.2.5,32784,10.0.2.4,38183,AR
TCP,10.0.2.5,1862,10.0.2.4,38183,AR
TCP,10.0.2.5,83,10.0.2.4,38183,AR
TCP,10.0.2.5,9100,10.0.2.4,38183,AR
TCP,10.0.2.5,4,10.0.2.4,38183,AR
TCP,10.0.2.5,1201,10.0.2.4,38183,AR
TCP,10.0.2.5,1187,10.0.2.4,38183,AR
TCP,10.0.2.5,6112,10.0.2.4,38183,AR
TCP,10.0.2.5,8701,10.0.2.4,38183,AR
TCP,10.0.2.5,1093,10.0.2.4,38183,AR
TCP,10.0.2.5,2121,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,2702,S
TCP,10.0.2.4,38183,10.0.2.5,1044,S
TCP,10.0.2.4,38183,10.0.2.5,1075,S
TCP,10.0.2.4,38183,10.0.2.5,800,S
TCP,10.0.2.4,38183,10.0.2.5,8402,S
TCP,10.0.2.4,38183,10.0.2.5,12345,S
TCP,10.0.2.4,38183,10.0.2.5,5901,S
TCP,10.0.2.4,38183,10.0.2.5,5811,S
TCP,10.0.2.5,2702,10.0.2.4,38183,AR
TCP,10.0.2.5,1044,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,10215,S
TCP,10.0.2.4,38183,10.0.2.5,23502,S
TCP,10.0.2.4,38183,10.0.2.5,10000,S
TCP,10.0.2.5,1075,10.0.2.4,38183,AR
TCP,10.0.2.5,800,10.0.2.4,38183,AR
TCP,10.0.2.5,8402,10.0.2.4,38183,AR
TCP,10.0.2.5,12345,10.0.2.4,38183,AR
TCP,10.0.2.5,5901,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,60020,S
TCP,10.0.2.4,38183,10.0.2.5,1092,S
TCP,10.0.2.4,38183,10.0.2.5,1580,S
TCP,10.0.2.5,5811,10.0.2.4,38183,AR
TCP,10.0.2.5,10215,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,9415,S
TCP,10.0.2.4,38183,10.0.2.5,3809,S
TCP,10.0.2.5,23502,10.0.2.4,38183,AR
TCP,10.0.2.5,10000,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,6692,S
TCP,10.0.2.4,38183,10.0.2.5,843,S
TCP,10.0.2.4,38183,10.0.2.5,22939,S
TCP,10.0.2.5,60020,10.0.2.4,38183,AR
TCP,10.0.2.5,1092,10.0.2.4,38183,AR
TCP,10.0.2.5,1580,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,254,S
TCP,10.0.2.4,38183,10.0.2.5,1974,S
TCP,10.0.2.4,38183,10.0.2.5,5815,S
TCP,10.0.2.4,38183,10.0.2.5,11111,S
TCP,10.0.2.5,9415,10.0.2.4,38183,AR
TCP,10.0.2.5,3809,10.0.2.4,38183,AR
TCP,10.0.2.5,6692,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,89,S
TCP,10.0.2.4,38183,10.0.2.5,1600,S
TCP,10.0.2.4,38183,10.0.2.5,2034,S
TCP,10.0.2.4,38183,10.0.2.5,3017,S
TCP,10.0.2.4,38183,10.0.2.5,2323,S
TCP,10.0.2.4,38183,10.0.2.5,5001,S
TCP,10.0.2.4,38183,10.0.2.5,5221,S
TCP,10.0.2.5,843,10.0.2.4,38183,AR
TCP,10.0.2.5,22939,10.0.2.4,38183,AR
TCP,10.0.2.5,254,10.0.2.4,38183,AR
TCP,10.0.2.5,1974,10.0.2.4,38183,AR
TCP,10.0.2.5,5815,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,9898,S
TCP,10.0.2.4,38183,10.0.2.5,2500,S
TCP,10.0.2.4,38183,10.0.2.5,9081,S
TCP,10.0.2.4,38183,10.0.2.5,5960,S
TCP,10.0.2.4,38183,10.0.2.5,3784,S
TCP,10.0.2.5,11111,10.0.2.4,38183,AR
TCP,10.0.2.5,89,10.0.2.4,38183,AR
TCP,10.0.2.5,1600,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,1098,S
TCP,10.0.2.4,38183,10.0.2.5,2038,S
TCP,10.0.2.4,38183,10.0.2.5,1097,S
TCP,10.0.2.4,38183,10.0.2.5,1081,S
TCP,10.0.2.4,38183,10.0.2.5,16012,S
TCP,10.0.2.5,2034,10.0.2.4,38183,AR
TCP,10.0.2.5,3017,10.0.2.4,38183,AR
TCP,10.0.2.5,2323,10.0.2.4,38183,AR
TCP,10.0.2.5,5001,10.0.2.4,38183,AR
TCP,10.0.2.5,5221,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,9999,S
TCP,10.0.2.4,38183,10.0.2.5,711,S
TCP,10.0.2.4,38183,10.0.2.5,6881,S
TCP,10.0.2.4,38183,10.0.2.5,24800,S
TCP,10.0.2.4,38183,10.0.2.5,20031,S
TCP,10.0.2.4,38183,10.0.2.5,8010,S
TCP,10.0.2.4,38183,10.0.2.5,8087,S
TCP,10.0.2.5,9898,10.0.2.4,38183,AR
TCP,10.0.2.5,2500,10.0.2.4,38183,AR
TCP,10.0.2.5,9081,10.0.2.4,38183,AR
TCP,10.0.2.5,5960,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,5120,S
TCP,10.0.2.5,3784,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,1107,S
TCP,10.0.2.4,38183,10.0.2.5,24,S
TCP,10.0.2.5,1098,10.0.2.4,38183,AR
TCP,10.0.2.5,2038,10.0.2.4,38183,AR
TCP,10.0.2.5,1097,10.0.2.4,38183,AR
TCP,10.0.2.5,1081,10.0.2.4,38183,AR
TCP,10.0.2.5,16012,10.0.2.4,38183,AR
TCP,10.0.2.5,9999,10.0.2.4,38183,AR
TCP,10.0.2.5,711,10.0.2.4,38183,AR
TCP,10.0.2.5,6881,10.0.2.4,38183,AR
TCP,10.0.2.5,24800,10.0.2.4,38183,AR
TCP,10.0.2.5,20031,10.0.2.4,38183,AR
TCP,10.0.2.5,8010,10.0.2.4,38183,AR
TCP,10.0.2.5,8087,10.0.2.4,38183,AR
TCP,10.0.2.5,5120,10.0.2.4,38183,AR
TCP,10.0.2.5,1107,10.0.2.4,38183,AR
TCP,10.0.2.5,24,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,9944,S
TCP,10.0.2.4,38183,10.0.2.5,903,S
TCP,10.0.2.4,38183,10.0.2.5,1154,S
TCP,10.0.2.4,38183,10.0.2.5,1148,S
TCP,10.0.2.4,38183,10.0.2.5,2602,S
TCP,10.0.2.4,38183,10.0.2.5,6004,S
TCP,10.0.2.4,38183,10.0.2.5,9103,S
TCP,10.0.2.4,38183,10.0.2.5,668,S
TCP,10.0.2.4,38183,10.0.2.5,16000,S
TCP,10.0.2.4,38183,10.0.2.5,9876,S
TCP,10.0.2.4,38183,10.0.2.5,3351,S
TCP,10.0.2.5,9944,10.0.2.4,38183,AR
TCP,10.0.2.5,903,10.0.2.4,38183,AR
TCP,10.0.2.5,1154,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,2179,S
TCP,10.0.2.4,38183,10.0.2.5,1277,S
TCP,10.0.2.4,38183,10.0.2.5,880,S
TCP,10.0.2.4,38183,10.0.2.5,3517,S
TCP,10.0.2.5,1148,10.0.2.4,38183,AR
TCP,10.0.2.5,2602,10.0.2.4,38183,AR
TCP,10.0.2.5,6004,10.0.2.4,38183,AR
TCP,10.0.2.5,9103,10.0.2.4,38183,AR
TCP,10.0.2.5,668,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,808,S
TCP,10.0.2.4,38183,10.0.2.5,8082,S
TCP,10.0.2.4,38183,10.0.2.5,1434,S
TCP,10.0.2.4,38183,10.0.2.5,1783,S
TCP,10.0.2.4,38183,10.0.2.5,3476,S
TCP,10.0.2.4,38183,10.0.2.5,3998,S
TCP,10.0.2.4,38183,10.0.2.5,2035,S
TCP,10.0.2.4,38183,10.0.2.5,1055,S
TCP,10.0.2.4,38183,10.0.2.5,1064,S
TCP,10.0.2.4,38183,10.0.2.5,7443,S
TCP,10.0.2.4,38183,10.0.2.5,389,S
TCP,10.0.2.5,16000,10.0.2.4,38183,AR
TCP,10.0.2.5,9876,10.0.2.4,38183,AR
TCP,10.0.2.5,3351,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,4343,S
TCP,10.0.2.4,38183,10.0.2.5,7512,S
TCP,10.0.2.4,38183,10.0.2.5,1028,S
TCP,10.0.2.4,38183,10.0.2.5,5030,S
TCP,10.0.2.4,38183,10.0.2.5,4003,S
TCP,10.0.2.4,38183,10.0.2.5,8089,S
TCP,10.0.2.4,38183,10.0.2.5,2800,S
TCP,10.0.2.5,2179,10.0.2.4,38183,AR
TCP,10.0.2.5,1277,10.0.2.4,38183,AR
TCP,10.0.2.5,880,10.0.2.4,38183,AR
TCP,10.0.2.5,3517,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,416,S
TCP,10.0.2.4,38183,10.0.2.5,4662,S
