"No.","Time","Source","Destination","Protocol","Length","Info"
"84","0.083372","10.0.2.5","10.0.2.4","TCP","60","5566  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"85","0.083391","10.0.2.4","10.0.2.5","TCP","58","38183  >  2068 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"86","0.083443","10.0.2.4","10.0.2.5","TCP","58","38183  >  8654 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"87","0.083448","10.0.2.5","10.0.2.4","TCP","60","57294  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"88","0.083448","10.0.2.5","10.0.2.4","TCP","60","4224  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"89","0.083486","10.0.2.4","10.0.2.5","TCP","58","38183  >  1039 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"90","0.083535","10.0.2.4","10.0.2.5","TCP","58","38183  >  8383 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"91","0.083544","10.0.2.5","10.0.2.4","TCP","60","1108  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"92","0.083544","10.0.2.5","10.0.2.4","TCP","60","6839  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"93","0.083544","10.0.2.5","10.0.2.4","TCP","60","1719  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"94","0.083566","10.0.2.4","10.0.2.5","TCP","58","38183  >  8180 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"95","0.083597","10.0.2.4","10.0.2.5","TCP","58","38183  >  3372 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"96","0.083639","10.0.2.4","10.0.2.5","TCP","58","38183  >  9 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"97","0.083668","10.0.2.4","10.0.2.5","TCP","58","38183  >  9535 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"98","0.083699","10.0.2.4","10.0.2.5","TCP","58","38183  >  2222 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"99","0.083704","10.0.2.5","10.0.2.4","TCP","60","9593  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"100","0.083704","10.0.2.5","10.0.2.4","TCP","60","8651  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"101","0.083704","10.0.2.5","10.0.2.4","TCP","60","1145  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"102","0.083704","10.0.2.5","10.0.2.4","TCP","60","2068  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"103","0.083704","10.0.2.5","10.0.2.4","TCP","60","8654  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"104","0.083735","10.0.2.4","10.0.2.5","TCP","58","38183  >  2021 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"105","0.083774","10.0.2.4","10.0.2.5","TCP","58","38183  >  1056 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"106","0.083821","10.0.2.5","10.0.2.4","TCP","60","1039  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"107","0.083822","10.0.2.4","10.0.2.5","TCP","58","38183  >  2875 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"108","0.083821","10.0.2.5","10.0.2.4","TCP","60","8383  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
